Old_Icon_V4,New_Icon_V6,New_Icon_Prefix,New_Icon_UniCode
500px,500px,fa-brands,f26e
address-book-o,address-book,fa-regular,f2b9
address-card-o,address-card,fa-regular,f2bb
adn,adn,fa-brands,f170
amazon,amazon,fa-brands,f270
android,android,fa-brands,f17b
angellist,angellist,fa-brands,f209
apple,apple,fa-brands,f179
area-chart,chart-area,fa-solid,f1fe
arrow-circle-o-down,circle-down,fa-regular,f358
arrow-circle-o-left,circle-left,fa-regular,f359
arrow-circle-o-right,circle-right,fa-regular,f35a
arrow-circle-o-up,circle-up,fa-regular,f35b
arrows,up-down-left-right,fa-solid,f0b2
arrows-alt,maximize,fa-solid,f31e
arrows-h,left-right,fa-solid,f337
arrows-v,up-down,fa-solid,f338
asl-interpreting,hands-asl-interpreting,fa-solid,f2a3
automobile,car,fa-solid,f1b9
bandcamp,bandcamp,fa-brands,f2d5
bank,bank,fa-solid,f19c
bar-chart,chart-bar,fa-regular,f080
bar-chart-o,chart-bar,fa-regular,f080
bathtub,bath,fa-solid,f2cd
battery,battery-full,fa-solid,f240
battery-0,battery-empty,fa-solid,f244
battery-1,battery-quarter,fa-solid,f243
battery-2,battery-half,fa-solid,f242
battery-3,battery-three-quarters,fa-solid,f241
battery-4,battery-full,fa-solid,f240
behance,behance,fa-brands,f1b4
behance-square,behance-square,fa-brands,f1b5
bell-o,bell,fa-regular,f0f3
bell-slash-o,bell-slash,fa-regular,f1f6
bitbucket,bitbucket,fa-brands,f171
bitbucket-square,bitbucket,fa-brands,f171
bitcoin,btc,fa-brands,f15a
black-tie,black-tie,fa-brands,f27e
bluetooth,bluetooth,fa-brands,f293
bluetooth-b,bluetooth-b,fa-brands,f294
bookmark-o,bookmark,fa-regular,f02e
btc,btc,fa-brands,f15a
building-o,building,fa-regular,f1ad
buysellads,buysellads,fa-brands,f20d
cab,taxi,fa-solid,f1ba
calendar,calendar-days,fa-solid,f073
calendar-check-o,calendar-check,fa-regular,f274
calendar-minus-o,calendar-minus,fa-regular,f272
calendar-o,calendar,fa-regular,f133
calendar-plus-o,calendar-plus,fa-regular,f271
calendar-times-o,calendar-xmark,fa-regular,f273
caret-square-o-down,square-caret-down,fa-regular,f150
caret-square-o-left,square-caret-left,fa-regular,f191
caret-square-o-right,square-caret-right,fa-regular,f152
caret-square-o-up,square-caret-up,fa-regular,f151
cc,closed-captioning,fa-regular,f20a
cc-amex,cc-amex,fa-brands,f1f3
cc-diners-club,cc-diners-club,fa-brands,f24c
cc-discover,cc-discover,fa-brands,f1f2
cc-jcb,cc-jcb,fa-brands,f24b
cc-mastercard,cc-mastercard,fa-brands,f1f1
cc-paypal,cc-paypal,fa-brands,f1f4
cc-stripe,cc-stripe,fa-brands,f1f5
cc-visa,cc-visa,fa-brands,f1f0
chain,link,fa-solid,f0c1
chain-broken,link-slash,fa-solid,f127
check-circle-o,circle-check,fa-regular,f058
check-square-o,square-check,fa-regular,f14a
chrome,chrome,fa-brands,f268
circle-o,circle,fa-regular,f111
circle-o-notch,circle-notch,fa-solid,f1ce
circle-thin,circle,fa-regular,f111
clipboard,clipboard,fa-regular,f328
clock-o,clock,fa-regular,f017
clone,clone,fa-regular,f24d
close,xmark,fa-solid,f00d
cloud-download,cloud-arrow-down,fa-solid,f0ed
cloud-upload,cloud-arrow-up,fa-solid,f0ee
cny,yen-sign,fa-solid,f157
code-fork,code-branch,fa-solid,f126
codepen,codepen,fa-brands,f1cb
codiepie,codiepie,fa-brands,f284
comment-o,comment,fa-regular,f075
commenting,comment-dots,fa-solid,f4ad
commenting-o,comment-dots,fa-regular,f4ad
comments-o,comments,fa-regular,f086
compass,compass,fa-regular,f14e
